auto_rewarded,change_contrast,change_frame,change_image_category,change_image_name,change_ori,change_time,cumulative_reward_number,cumulative_volume,delta_ori,initial_contrast,initial_image_category,initial_image_name,initial_ori,lick_times,optogenetics,response_latency,response_time,response_type,reward_frames,reward_times,reward_volume,rewarded,scheduled_change_time,startframe,starttime,endframe,endtime,trial_length
False,1.0,209.0,im077,im077,90.0,8.441837305901572,0,0.0,0.0,1.0,im077,im077,90.0,"[10.411586932139471, 10.444964011898264]",False,1.9698419936466962,[],[],[],[],0.0,False,3.448122184212359,0,11.583758127875626,266.0,10.692204050254077,-0.8915540776215494
True,1.0,447.0,im066,im066,90.0,17.615994724677876,1,0.005,0.0,1.0,im077,im077,90.0,"[17.868770401692018, 17.91738780704327, 18.050885541830212, 18.08413946465589, 18.151007800363004, 18.184444854967296, 18.284615863114595, 18.31781333917752, 18.43640525988303, 18.58625108958222, 18.668107664445415, 18.701496290042996, 18.80199282988906, 18.835243224864826, 18.93472692859359, 18.968750581145287, 19.068612735485658, 19.101860244059935, 19.18659400404431, 19.336727840825915, 19.436098330188543, 19.46935064950958, 19.602860571816564, 19.63572257384658, 19.736339383991435]",False,,[],[],[446],[17.61772693693638],0.005,True,6.161988718676369,266,10.710530670825392,526.0,20.650445577222854,9.939914906397462
True,1.0,680.0,im077,im077,90.0,26.840610805898905,2,0.01,0.0,1.0,im066,im066,90.0,"[27.141644039656967, 27.27514177444391, 27.37538975570351, 27.508761767996475, 27.660760595463216, 27.760759055847302, 27.81075684307143, 27.90918601723388, 28.042688883608207, 28.142598825274035, 28.176106117432937, 28.27605935628526, 28.309312637662515, 28.42761077848263, 28.577735955594108, 28.67673280555755, 28.710107960971072, 28.844001465011388, 28.876852562651038, 29.560953284380957, 29.59420688659884, 29.72770013124682, 29.760949563933536]",False,2.720445109065622,[],[],[679],[26.84219003468752],0.005,True,5.95069814222191,526,20.669031019322574,758.0,29.87484068190679,9.205809662584215
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,"[31.829145041992888, 31.862518914509565, 32.062513269716874]",False,inf,[],[],[],[],0.0,True,3.416428184695974,758,29.89319263957441,818.0,32.17677866877057,2.283586029196158
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,"[33.781845157267526, 33.93196488218382]",False,inf,[],[],[],[],0.0,True,3.416426260350704,818,32.19499464076944,878.0,34.47867496171966,2.283680320950225
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,[36.116908457828686],False,inf,[],[],[],[],0.0,True,3.4164252982944845,878,34.49710196792148,938.0,36.7639348320663,2.266832864144817
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,"[37.31695541134104, 37.35025006579235, 37.48382445285097, 37.51739653060213]",False,inf,[],[],[],[],0.0,True,3.4164259397429078,938,36.78209179150872,958.0,37.53122472320683,0.7491329316981137
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,[38.635364008136094],False,inf,[],[],[],[],0.0,True,3.416426581191331,958,37.54929476720281,998.0,39.04916712036356,1.4998723531607538
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,[40.687662966083735],False,inf,[],[],[],[],0.0,True,3.4163871326953767,998,39.067462631035596,1057.0,41.3177437428385,2.250281111802906
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,"[42.57142224861309, 42.6046912453603]",False,inf,[],[],[],[],0.0,True,4.744052190813235,1057,41.336278511211276,1097.0,42.852341485442594,1.5160629742313176
