cellName,snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD,numContourComponents,overallCenterInPixelsX,overallCenterInPixelsY,overallAreaInPixels,overallMaxContourWidthInPixels,largestComponentCenterInPixelsX,largestComponentCenterInPixelsY,largestComponentAreaInPixels,largestComponentMaxContourWidthInPixels,likely_repeat,peak_95th_percentile
C000,9.774550000000001,18.854305,0.014309909999999999,191.3652,287.70885,0.125,0.04549045,0.2375,1.364535,1.0,165.0,137.0,56.0,10.7703,165.0,137.0,56.0,10.7703,False,23.1070126524429
C001,7.760105,8.943415,0.033878450000000004,74.8819,168.06975,0.07500000000000001,0.0830757,0.2625,0.339993,1.0,90.0,183.0,54.5,10.0499,90.0,183.0,54.5,10.0499,True,
C002,12.602640000000001,13.903369999999999,0.006475745,219.56154999999998,218.61030000000002,0.125,0.07033525,0.35,0.15182025,1.0,88.0,149.0,49.5,22.1359,88.0,149.0,49.5,22.1359,False,22.451822575100874
C003,15.652,29.95845,0.00822418,479.36199999999997,549.2801,0.15,0.13492400000000002,0.8875000000000001,5.4652,1.0,85.0,161.0,56.0,11.1803,85.0,161.0,56.0,11.1803,False,22.531921059939563
C004,10.127365000000001,13.801675,0.03066415,188.0689,167.44400000000002,0.07500000000000001,0.0749724,0.275,0.23897714999999997,1.0,174.0,147.0,55.5,9.48683,174.0,147.0,55.5,9.48683,True,
C005,12.117750000000001,18.1976,0.035425294999999996,223.0695,366.49449999999996,0.07500000000000001,0.08289925,0.3875,1.22543,1.0,169.0,132.0,59.0,10.7703,169.0,132.0,59.0,10.7703,False,16.076721913977913
C006,12.733505000000001,7.941925,0.0177862,90.64595,106.50874999999999,0.125,0.12753489999999998,0.4,0.604549,1.0,48.0,217.0,59.5,13.9284,48.0,217.0,59.5,13.9284,False,17.622780584231478
C007,6.662635,12.3597,0.0036985355,81.8974,35.78715,0.05,0.0125,0.9874999999999999,2.7436,1.0,117.0,130.0,56.5,10.7703,117.0,130.0,56.5,10.7703,False,5.049665608538795
C008,9.522835,7.611305000000001,0.0156816,75.4924,189.6805,0.1125,0.07768309999999999,0.3625,0.423404,1.0,99.0,154.0,59.5,13.6015,99.0,154.0,59.5,13.6015,False,16.7605065132705
C009,17.07139,13.45956,0.0318209655,276.52035,126.45450000000001,0.07500000000000001,0.107529,0.41250000000000003,0.317823,1.0,171.0,151.0,53.0,8.94427,171.0,151.0,53.0,8.94427,False,14.908962144688694
C010,8.13475,21.33745,0.025641050000000002,347.151,350.42150000000004,0.075,0.03143095,0.15,0.14431449999999998,1.0,194.0,139.0,61.0,11.4018,194.0,139.0,61.0,11.4018,False,15.864387927972087
C011,4.62458,9.55174,0.009004209999999999,44.1983,173.07778000000002,0.07500000000000001,0.01666665,0.15000000000000002,0.14101750000000002,1.0,169.0,196.0,62.0,10.6301,169.0,196.0,62.0,10.6301,False,8.017747829201628
C012,10.77615,13.31545,0.02588976,137.3145,156.0155,0.125,0.058707999999999996,0.3,0.29599050000000005,1.0,93.0,179.0,54.0,11.0454,93.0,179.0,54.0,11.0454,False,15.814675818208881
C013,16.82957,10.032145,0.016932615499999998,208.88205,95.54350000000001,0.9,4.87869,5.15,5.89215,1.0,187.0,148.0,60.5,10.4403,187.0,148.0,60.5,10.4403,False,13.262327721466253
C014,9.070039999999999,7.06471,0.018068800000000003,62.49535,57.722465,0.07500000000000001,0.131182,0.15,0.3500447,1.0,16.0,190.0,62.5,13.3417,16.0,190.0,62.5,13.3417,False,16.66781808719385
C016,11.49473,12.3457,0.01401413,140.8395,162.49044999999998,0.1625,0.11481699999999999,0.35,0.157247,1.0,136.0,105.0,58.0,11.6619,136.0,105.0,58.0,11.6619,False,20.608380583042536
C017,6.5648,12.38645,0.0107527,162.629,137.63049999999998,0.05,0.02192645,0.2,0.10024,1.0,132.0,237.0,59.0,10.8167,132.0,237.0,59.0,10.8167,False,20.997266064847757
C018,6.77247,7.21205,0.02947345,49.3136,158.9385,0.1,0.05171315,0.2,0.252859,1.0,185.0,28.0,58.0,10.8167,185.0,28.0,58.0,10.8167,False,12.922383234503862
C020,16.66435,13.30099,0.027638195000000004,213.58,72.8314,0.1,0.06557795,0.35,0.29786250000000003,1.0,183.0,54.0,64.0,11.7047,183.0,54.0,64.0,11.7047,False,14.136375292591001
C021,11.1212,6.28935,0.0537635,139.8905,101.796,0.075,0.172147,0.325,0.3061705,1.0,149.0,161.0,57.0,11.7047,149.0,161.0,57.0,11.7047,False,10.743237745846846
C022,11.600085,7.86659,0.035391450000000005,91.77715,120.5195,0.1,0.09412625,0.3,0.304568,1.0,201.0,75.0,61.5,11.1803,201.0,75.0,61.5,11.1803,False,14.690280099831696
