cellName,snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD,numContourComponents,overallCenterInPixelsX,overallCenterInPixelsY,overallAreaInPixels,overallMaxContourWidthInPixels,largestComponentCenterInPixelsX,largestComponentCenterInPixelsY,largestComponentAreaInPixels,largestComponentMaxContourWidthInPixels,likely_repeat,peak_95th_percentile
C000,11.6675,4.63397,0.0749637,54.067,103.796,0.15,0.28988,0.5,0.638877,1.0,162.0,224.0,60.0,10.198,162.0,224.0,60.0,10.198,False,13.16763714892474
C001,9.873669999999999,4.98773,0.06578439999999999,49.2473,84.8578,0.15,0.163181,0.5,0.865085,1.0,180.0,247.0,71.0,12.53,180.0,247.0,71.0,12.53,False,8.987710666836564
C002,16.7654,10.0956,0.0321273,169.257,281.24,0.2,0.110733,0.8,0.569774,1.0,179.0,160.0,69.0,12.3693,179.0,160.0,69.0,12.3693,False,12.562781111772015
C003,4.3971800000000005,6.11229,0.035187,26.8768,70.517,0.05,0.139876,0.05,0.46403199999999994,1.0,255.0,233.0,60.5,10.6301,255.0,233.0,60.5,10.6301,False,15.015285175844067
C004,8.91635,4.9187,0.044366300000000004,43.8568,85.2073,0.1,0.211522,0.4,0.533127,1.0,190.0,262.0,68.5,11.4018,190.0,262.0,68.5,11.4018,False,13.37728081468015
C005,20.2637,8.31407,0.07955330000000001,168.47299999999998,273.839,0.15,0.268005,0.55,0.956983,1.0,149.0,127.0,63.5,10.7703,149.0,127.0,63.5,10.7703,False,13.16433733341333
C006,14.8054,4.00166,0.07190389999999999,59.2461,84.4952,0.1,0.291274,0.45,0.737845,1.0,132.0,27.0,62.0,10.7703,132.0,27.0,62.0,10.7703,False,11.66070627210741
C007,5.53581,5.25189,0.0627247,29.0734,66.6532,0.1,0.0933783,0.3,0.679266,1.0,266.0,226.0,66.0,13.4536,266.0,226.0,66.0,13.4536,False,10.0933696301792
C008,6.69257,5.9212,0.0229481,39.628,99.9005,0.1,0.0387298,0.35,0.249666,1.0,135.0,200.0,63.5,12.0416,135.0,200.0,63.5,12.0416,False,16.621776767816293
C009,10.2,5.05746,0.07955330000000001,51.5863,90.9937,0.15,0.187852,0.8,1.09287,1.0,83.0,203.0,63.0,12.2066,83.0,203.0,63.0,12.2066,False,10.970881907364122
C010,9.74297,8.86009,0.08567280000000001,86.3236,152.955,0.15,0.289164,0.575,0.868239,1.0,224.0,146.0,62.5,9.84886,224.0,146.0,62.5,9.84886,False,9.788512899850547
C011,8.63978,8.13333,0.0611948,70.2702,92.0494,0.1,0.14296,0.65,0.8949860000000001,1.0,192.0,127.0,67.5,13.0384,192.0,127.0,67.5,13.0384,False,6.008506493065656
C012,20.1374,4.2159699999999996,0.104031,84.8985,117.726,0.15,0.136796,0.725,0.9611379999999999,1.0,68.0,212.0,70.0,11.4018,68.0,212.0,70.0,11.4018,False,8.025919656544282
C013,11.149000000000001,7.789560000000001,0.0688442,86.8458,94.4995,0.15,0.594325,0.55,1.13095,1.0,98.0,165.0,61.0,10.8167,98.0,165.0,61.0,10.8167,False,9.12026276023254
C014,11.0832,5.96504,0.0872026,66.1116,104.415,0.15,0.33866399999999997,0.55,1.25163,1.0,134.0,91.0,62.5,10.6301,134.0,91.0,62.5,10.6301,False,11.222904037685419
C015,8.66974,5.6431,0.0458961,48.9242,70.9148,0.1,0.151658,0.4,0.642975,1.0,53.0,170.0,60.5,10.2956,53.0,170.0,60.5,10.2956,False,11.189490282468986
