stim_type,starttime,startframe,nearest_F_frame
visual,0.017312711554041016,0,185
auditory,4.518281602489878,269,278
auditory_and_visual,9.135026064801878,537,367
auditory,12.734707013923753,753,439
auditory_and_visual,16.851073669707375,1000,521
visual,19.9014017969223,1183,582
auditory_and_visual,24.48437972057718,1458,674
auditory,29.000896729247415,1729,764
auditory,32.35097007759464,1930,831
auditory_and_visual,36.15072652387846,2158,907
auditory_and_visual,39.40068210435027,2353,972
visual,44.36741075523469,2651,1071
visual,48.45063627366028,2896,1153
auditory,51.93411381277349,3105,1222
auditory,55.233759611135156,3303,1288
visual,60.150396825142366,3598,1386
visual,64.30064034678662,3847,1469
visual,67.90029467626346,4063,1541
auditory_and_visual,70.91711989552277,4244,1601
auditory_and_visual,75.78378979075683,4536,1699
auditory,80.46722319898856,4817,1792
visual,84.93352850130123,5085,1881
auditory_and_visual,88.5840103168764,5303,1954
visual,92.56737111441385,5542,2034
auditory,97.26720318614707,5824,2128
auditory,100.81701303208024,6037,2199
visual,105.45049996824889,6315,2291
auditory,110.28349569178692,6605,2388
visual,114.4169701199296,6853,2470
visual,117.45075493954778,7035,2531
auditory_and_visual,120.85061343849486,7239,2599
auditory,124.98390922636895,7487,2681
auditory_and_visual,128.40053521522464,7692,2750
auditory_and_visual,133.40034887770935,7992,2850
auditory_and_visual,137.46751537364685,8236,2931
auditory_and_visual,141.80027216181668,8496,3017
visual,146.35067469575029,8769,3108
visual,150.33371637826588,9008,3188
auditory_and_visual,153.83387224751266,9218,3258
auditory_and_visual,158.41680976062207,9493,3349
auditory_and_visual,162.65020086606853,9747,3434
visual,166.63349719916437,9986,3513
visual,169.64999753046675,10167,3574
visual,172.70008832590656,10350,3635
auditory,176.91655094069984,10603,3719
auditory,180.5998057086631,10824,3792
visual,184.2668330768654,11044,3866
auditory_and_visual,189.21635902268065,11341,3965
auditory_and_visual,193.68326984173825,11609,4054
auditory_and_visual,197.51676716918996,11839,4130
auditory_and_visual,201.883113138623,12101,4218
auditory_and_visual,206.86642486621224,12400,4317
auditory_and_visual,211.59972745332107,12684,4412
auditory,216.58309658954238,12983,4511
auditory,220.21644273023912,13201,4584
auditory_and_visual,224.09967421403098,13434,4661
visual,228.68299594804103,13709,4753
auditory_and_visual,232.7497394161254,13953,4834
auditory_and_visual,235.99959108376595,14148,4899
auditory,239.63339841783102,14366,4972
auditory_and_visual,242.81679815060818,14557,5035
auditory_and_visual,246.59994329694894,14784,5111
visual,250.5664852895993,15022,5190
auditory_and_visual,255.1003387430012,15294,5281
auditory_and_visual,259.53353273478695,15560,5369
auditory_and_visual,263.11715498213925,15775,5441
auditory,266.4166625507778,15973,5507
auditory_and_visual,270.4663046608754,16216,5588
visual,273.8833649027357,16419,5656
auditory_and_visual,278.68281570417946,16707,5752
auditory_and_visual,283.64978329043186,17005,5851
visual,287.79948287330524,17254,5934
auditory_and_visual,291.31601239000156,17465,6004
auditory,294.58272263163735,17661,6069
auditory,298.3656468028523,17888,6145
auditory_and_visual,302.5657970274516,18140,6229
auditory_and_visual,306.7990114169413,18394,6313
auditory_and_visual,311.2992359199718,18664,6403
auditory,314.8159575471184,18875,6474
visual,318.89908011486864,19120,6555
auditory,323.64901965940965,19405,6650
auditory,327.31580648865076,19625,6723
auditory,330.4658062641478,19814,6786
auditory_and_visual,334.91569269768615,20081,6875
auditory_and_visual,339.4159787786907,20351,6965
visual,342.46558144039864,20534,7026
auditory_and_visual,346.39885240465196,20770,7104
visual,350.9657090864074,21044,7196
visual,355.0323088725522,21288,7277
auditory_and_visual,359.9488569267845,21583,7375
auditory_and_visual,363.165429227344,21776,7439
auditory_and_visual,368.0825959477845,22071,7538
auditory_and_visual,372.3153536339664,22325,7622
auditory_and_visual,376.84914743370587,22597,7713
visual,380.0159522231894,22787,7776
auditory,383.699115907066,23008,7850
visual,387.4495974660664,23233,7925
auditory_and_visual,392.19957806259015,23518,8019
auditory,396.4326333756468,23772,8104
auditory,401.23273683947207,24060,8200
visual,405.4652767577145,24314,8284
visual,409.3489392873248,24547,8362
auditory,412.598882039052,24742,8427
auditory_and_visual,416.79877857522683,24994,8511
visual,420.11521527595596,25193,8577
auditory,423.16496065744764,25376,8638
visual,427.9983303388906,25666,8735
visual,432.96481877153224,25964,8834
auditory,437.49829890846627,26236,8924
auditory,441.4984008969859,26476,9004
visual,446.4482882926802,26773,9103
visual,449.96496213275327,26984,9173
auditory_and_visual,453.5151183547905,27197,9244
visual,457.0815815148053,27411,9316
visual,461.49851154490807,27676,9404
visual,466.36499253687793,27968,9501
auditory,471.0984615769478,28252,9596
auditory_and_visual,475.81512175440776,28535,9690
visual,479.4649149871168,28754,9763
auditory,483.26504956064764,28982,9839
auditory_and_visual,488.23159764695174,29280,9938
auditory_and_visual,492.3982411149718,29530,10021
visual,496.41485626353847,29771,10101
visual,500.414644909971,30011,10181
auditory_and_visual,504.3816140998167,30249,10260
visual,508.6815312261265,30507,10346
auditory,512.5654673287154,30740,10424
visual,516.3482234433761,30967,10499
auditory_and_visual,520.714838495727,31229,10587
auditory,524.0646732294249,31430,10654
auditory,528.1815030028883,31677,10736
auditory_and_visual,531.7816441832226,31893,10808
visual,535.0312524254346,32088,10873
visual,538.9983447712282,32326,10952
visual,543.3646076745399,32588,11039
visual,547.6978695945284,32848,11126
visual,552.6477047130884,33145,11225
auditory_and_visual,557.0978666439171,33412,11313
visual,561.9644560387787,33704,11411
auditory_and_visual,565.8309793656058,33936,11488
auditory_and_visual,570.5145785853615,34217,11581
auditory,574.614396481332,34463,11663
visual,578.5641106889741,34700,11742
auditory_and_visual,582.0808140351598,34911,11813
visual,586.9808187817953,35205,11910
visual,590.6974321343375,35428,11985
