cell_id,mouse_id,condition,number_of_trials,pre_stim_integral_mean,post_stim_integral_mean,p-value_on_integrals,direction_of_effect_on_integrals,pre_stim_mean_all,post_stim_mean_all,p-value_on_means,direction_of_effect_on_means,integral_change_magnitude,mean_change_magnitude
C000,M332849,hit,52,1.319358992614706,-18.435498061235585,2.6141533391156975e-62,-1.0,0.04685871883493344,-0.6422608156146852,2.998178683712653e-62,-1.0,-19.75485705385029,-0.6891195344496186
C000,M332849,miss,67,1.319358992614706,0.020795243580373338,0.09413593940718021,-1.0,0.04685871883493344,0.003840157620129745,0.11285780830373393,-1.0,-1.2985637490343327,-0.0430185612148037
C000,M332849,fa,193,1.319358992614706,1.0759054538008737,0.6597235499866232,-1.0,0.04685871883493344,0.038184795286305154,0.6579041061754751,-1.0,-0.24345353881383236,-0.008673923548628289
C000,M332849,cr,72,1.319358992614706,1.5991796999962489,0.7130157496050018,1.0,0.04685871883493344,0.05701386271974058,0.7027603930445625,1.0,0.27982070738154285,0.010155143884807136
C001,M332849,hit,52,-0.03975404845330336,-1.0582605579876603,0.7294249698769513,-1.0,-0.0005291935203786796,-0.03692269744674366,0.7186269802637498,-1.0,-1.0185065095343568,-0.03639350392636498
C001,M332849,miss,67,-0.03975404845330336,8.147207129795257,0.011995268850623677,1.0,-0.0005291935203786796,0.2847198241285316,0.01074433737910552,1.0,8.186961178248561,0.28524901764891025
C001,M332849,fa,193,-0.03975404845330336,-2.6639268879120537,0.08728635104987424,-1.0,-0.0005291935203786796,-0.09220981072564617,0.0816201077363642,-1.0,-2.6241728394587502,-0.09168061720526749
C001,M332849,cr,72,-0.03975404845330336,2.967068166082442,0.327257021315016,1.0,-0.0005291935203786796,0.10088736978749856,0.3348296770307604,1.0,3.0068222145357453,0.10141656330787724
C002,M332849,hit,52,-0.20961568132555616,1.2945973348562303,0.656554508624403,1.0,-0.006373020761378874,0.04466916861538332,0.6608608773587106,1.0,1.5042130161817864,0.0510421893767622
C002,M332849,miss,67,-0.20961568132555616,-1.5773338830129533,0.6465676265501461,-1.0,-0.006373020761378874,-0.05270485894102452,0.6515358078147042,-1.0,-1.3677182016873972,-0.046331838179645646
C002,M332849,fa,193,-0.20961568132555616,2.2517503818252185,0.29911323358721376,1.0,-0.006373020761378874,0.07650227636211163,0.30865766080488655,1.0,2.4613660631507748,0.0828752971234905
C002,M332849,cr,72,-0.20961568132555616,-2.495631417168812,0.4297892840529769,-1.0,-0.006373020761378874,-0.08540426723273595,0.42739002281814875,-1.0,-2.2860157358432556,-0.07903124647135708
C003,M332849,hit,52,1.3765667808704265,0.5178370637263039,0.8181112295068523,-1.0,0.047673234050707135,0.015797517716721558,0.8046222341337789,-1.0,-0.8587297171441226,-0.031875716333985574
C003,M332849,miss,67,1.3765667808704265,-1.703534769388033,0.34448375818177024,-1.0,0.047673234050707135,-0.058597669961681705,0.3441528947798639,-1.0,-3.080101550258459,-0.10627090401238884
C003,M332849,fa,193,1.3765667808704265,0.00465503369718995,0.5369951604980507,-1.0,0.047673234050707135,5.814386656781793e-06,0.533572130144947,-1.0,-1.3719117471732365,-0.04766741966405035
C003,M332849,cr,72,1.3765667808704265,6.9606816530357465,0.16496448291222396,1.0,0.047673234050707135,0.23807168534812137,0.1687023389897833,1.0,5.58411487216532,0.19039845129741423
C004,M332849,hit,52,3.2188541668436947,-3.248026995990524,0.16766128566538577,-1.0,0.11067611132032662,-0.11076255083345801,0.16812310008667344,-1.0,-6.466881162834219,-0.22143866215378463
C004,M332849,miss,67,3.2188541668436947,3.952578397309634,0.8686359209904423,1.0,0.11067611132032662,0.13754381768575139,0.8599359496144785,1.0,0.7337242304659393,0.026867706365424765
C004,M332849,fa,193,3.2188541668436947,-5.157363312781594,0.0006519223482321765,-1.0,0.11067611132032662,-0.17618494936511517,0.0006596787850480486,-1.0,-8.37621747962529,-0.2868610606854418
C004,M332849,cr,72,3.2188541668436947,3.752437246478667,0.8993016291425286,1.0,0.11067611132032662,0.13069542424002834,0.8898573863489758,1.0,0.5335830796349721,0.020019312919701715
C005,M332849,hit,52,4.236778217831614,-12.686142465653578,9.64472631100485e-09,-1.0,0.1450312667333346,-0.4392050064244741,9.495612380135585e-09,-1.0,-16.92292068348519,-0.5842362731578087
C005,M332849,miss,67,4.236778217831614,2.6550192000535247,0.5351363480397582,-1.0,0.1450312667333346,0.09375076724819201,0.5608144222756424,-1.0,-1.5817590177780896,-0.0512804994851426
C005,M332849,fa,193,4.236778217831614,-3.5719165021746697,6.453981716839943e-07,-1.0,0.1450312667333346,-0.11970374669169438,9.762872126471995e-07,-1.0,-7.808694720006284,-0.264735013425029
C005,M332849,cr,72,4.236778217831614,3.337369381349815,0.7305598754496279,-1.0,0.1450312667333346,0.1131141891766358,0.7223027629845813,-1.0,-0.8994088364817991,-0.031917077556698814
C006,M332849,hit,52,-0.9895550504355534,11.294791076646174,0.0002045525422836376,1.0,-0.03394346595671973,0.3720817238357331,0.0002914903703483412,1.0,12.284346127081728,0.40602518979245283
C006,M332849,miss,67,-0.9895550504355534,4.859219506069189,0.046254597143867954,1.0,-0.03394346595671973,0.16200982775526018,0.04932012394581395,1.0,5.848774556504742,0.19595329371197992
C006,M332849,fa,193,-0.9895550504355534,1.7655004118733304,0.16256632021494602,1.0,-0.03394346595671973,0.05782926430999631,0.17020108957460228,1.0,2.7550554623088837,0.09177273026671603
C006,M332849,cr,72,-0.9895550504355534,2.2368837384714624,0.19086259086638613,1.0,-0.03394346595671973,0.07518766629727673,0.19506068095855034,1.0,3.2264387889070156,0.10913113225399645
C007,M332849,hit,52,3.7472748411067207,-2.835384465270529,0.11951144964939156,-1.0,0.1283480869334771,-0.09477570088602902,0.12358047357356555,-1.0,-6.58265930637725,-0.22312378781950612
C007,M332849,miss,67,3.7472748411067207,-1.7711279731907128,0.15136968530426395,-1.0,0.1283480869334771,-0.06440783275529638,0.14263288304672886,-1.0,-5.518402814297433,-0.19275591968877348
C007,M332849,fa,193,3.7472748411067207,-1.7365979045295576,0.021036181785538396,-1.0,0.1283480869334771,-0.053940167904585654,0.025567505082903647,-1.0,-5.483872745636278,-0.18228825483806277
C007,M332849,cr,72,3.7472748411067207,-3.155899045052381,0.05355073650199815,-1.0,0.1283480869334771,-0.10965003034021906,0.05194530537398513,-1.0,-6.903173886159102,-0.23799811727369616
